City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,puerto baquerizo moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
467,natitingou,BJ,77.05,scattered clouds,10.3042,1.3796,Auberge Centrale
469,ormara,PK,65.5,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
472,richards bay,ZA,70.59,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
473,ghanzi,BW,67.89,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
474,saint-georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
476,peniche,PT,56.1,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
478,hokitika,NZ,65.64,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
479,nushki,PK,43.02,clear sky,29.5542,66.0215,Shams hotel
481,puerto maldonado,PE,84.6,moderate rain,-12.6,-69.1833,Wasai Hotel
482,pochutla,MX,86.83,few clouds,15.7432,-96.4661,Hotel Posada San Jose
